R6509,R4710
R7003,R6967
R2978,R7854
R9047,R2926
R9544,R4900
R2916,R9709
R6868,R5793
R2110,R9714
R9320,R1465
R2137,R9587
R5176,R4756
R7800,R9897
R7551,R9957
R9966,R9205
R3162,R6528
R2882,R8308
R7675,R3623
R9777,R6809
R1523,R5906
R2579,R2287
R8600,R5902
R7904,R1587
R5885,R1346
R6235,R5624
R4684,R7633
R5403,R4681
R4421,R5043
R6615,R1563
R8121,R8562
R7982,R3719
R2516,R2675
R3118,R7900
R2143,R6514
R5199,R1190
R9219,R6781
R1842,R8408
R7157,R1233
R5909,R9486
R7676,R6672
R9804,R5006
R2986,R1856
R9617,R5655
R2117,R7679
R7562,R9739
R9462,R4962
R1436,R8604
R5775,R3563
R6598,R1614
R5466,R1993
R8103,R1348
R2020,R1404
R8738,R2835
R6994,R4313
R9285,R5162
R8557,R1013
R6785,R4730
R5148,R5481
R9748,R4714
R5634,R9758
R9834,R2291
R9900,R8701
R4621,R4934
R4529,R4105
R5628,R3981
R8834,R9840
R9560,R3924
R8555,R8799
R6203,R4219
R3289,R9362
R3574,R2699
R4849,R7123
R7019,R1338
R9164,R3173
R4912,R4928
R7903,R7939
R4519,R5591
R4895,R4186
R2389,R3232
R5611,R6410
R5913,R3396
R8360,R4808
R7463,R6230
R8188,R4724
R6475,R2484
R6325,R2206
R6142,R1629
R9520,R6584
R3777,R4443
R6786,R2309
R3784,R9076
R6028,R7135
R7922,R2105
R7435,R3795
R3516,R9600
R9149,R2727
R6104,R7056
R9016,R8733
R3088,R7376
R5656,R5509
R1860,R6426
R8616,R2668
R4196,R8995
R9538,R1853
R3267,R7697
R2735,R8952
R1101,R4054
R3345,R3852
R3277,R1668
R6679,R8558
R6548,R3662
R3363,R4168
R4457,R5525
R4193,R6968
R1200,R8457
R4605,R7324
R9843,R3570
R3122,R5333
R4094,R2962
R3440,R7294
R8850,R5267
R1153,R9152
R4121,R1776
R9763,R3542
R4086,R5261
R8005,R9970
R7575,R2200
R2929,R5849
R2963,R9879
R4152,R1283
R4612,R4034
R8643,R1716
R5459,R2419
R3724,R6641
R9348,R9429
R7566,R5609
R6234,R5884
R8001,R6780
R1489,R8475
R4143,R2360
R8220,R7668
R9767,R3910
R4046,R6401
R1165,R9329
R2756,R3669
R9873,R3664
R6295,R6754
R6206,R9548
R2974,R6521
R6536,R1488
R9221,R6929
R5890,R6766
R2383,R3499
R3908,R7277
R4787,R8940
R3091,R7952
R8414,R8684
R4884,R7005
R5112,R3259
R6873,R6348
R2166,R8601
R5294,R4291
R1266,R9435
R4951,R5070
R5720,R6261
R3959,R7068
R6639,R9453
R8598,R2664
R2944,R3859
R2292,R6758
R9929,R8198
R8221,R8810
R9848,R1363
R2452,R4628
R9730,R8621
R6692,R2605
R8935,R8668
R8846,R8229
R3180,R1552
R3097,R8004
R4948,R1012
R3002,R8265
R5527,R7870
R9212,R3817
R9457,R7266
R3771,R4378
R5816,R5526
R4429,R4442
R3383,R2465
R7180,R8077
R6409,R5573
R4839,R7728
R7724,R2167
R2013,R6889
R9209,R2318
R8520,R4583
R4023,R5120
R8531,R3119
R8699,R5797
R7732,R4754
R8460,R3895
R5349,R1565
R6139,R1099
R1928,R1920
R4362,R4400
R3605,R3331
R7749,R1426
R6149,R1006
R2381,R1223
R3736,R5479
R4125,R8197
R6346,R5752
R4270,R7284
R9439,R5353
R2899,R3312
R6720,R8298
R6101,R9668
R3133,R8530
R4986,R5387
R5470,R9910
R9695,R7163
R8596,R8816
R5383,R4549
R6981,R5026
R9196,R5069
R5030,R4697
R2692,R5560
R2418,R8576
R6753,R8321
R5409,R7948
R7287,R7989
R5282,R1632
R2357,R7666
R1808,R6167
R4509,R8806
R1104,R4586
R5419,R1440
R8878,R5105
R9918,R2608
R9506,R9574
R9393,R6855
R8511,R3323
R3298,R3086
R3655,R8728
R3811,R1735
R6045,R8466
R3130,R1549
R1403,R1059
R7802,R3065
R8344,R1237
R4310,R2078
R6675,R3622
R7288,R7039
R1082,R9023
R6842,R8915
R7763,R9476
R4762,R4274
R2832,R9218
R4532,R4782
R9829,R9659
R5165,R5343
R4146,R7505
R1093,R2932
R3619,R1318
R6298,R1360
R5597,R9105
R7024,R5911
R4246,R3881
R6771,R9044
R1753,R9042
R8540,R6856
R9872,R8826
R6472,R9015
R4892,R4199
R2759,R9286
R8723,R6696
R2940,R4776
R4707,R3064
R7261,R5836
R4810,R6810
R1573,R7702
R5732,R4597
R8016,R7771
R9129,R7955
R6405,R6274
R3024,R4325
R1921,R3760
R8100,R8228
R9068,R3177
R7271,R8930
R2222,R5072
R7824,R8240
R7830,R9426
R5987,R5934
