R46511,R36928
R67181,R31822
R94502,R12226
R87227,R86575
R40096,R60453
R81360,R36317
R36970,R28594
R82128,R21854
R29489,R69919
R80844,R60958
R76300,R13574
R20493,R39455
R93739,R16578
R85027,R19431
R77440,R88093
R21668,R56706
R97974,R42371
R61151,R43127
R17997,R98046
R93070,R38165
R57291,R52087
R88675,R68700
R96746,R28204
R85058,R23094
R13561,R97432
R29359,R79517
R86194,R88736
R49941,R51414
R87894,R50063
R31960,R29920
R83966,R57663
R19345,R36382
R94643,R62644
R53499,R75133
R79514,R36854
R26121,R36777
R50618,R13798
R36042,R99847
R43971,R83006
R59236,R71735
R78946,R84107
R64973,R82848
R45843,R14959
R67525,R86767
R19731,R38902
R51765,R61633
R49739,R18288
R96101,R34893
R73704,R12959
R69178,R92637
R60034,R18174
R50794,R76252
R82672,R57501
R32947,R54811
R99921,R49004
R86005,R83137
R36352,R13923
R44738,R32306
R57277,R98821
R54361,R93894
R22241,R60638
R55613,R22956
R61698,R85386
R42966,R26108
R16384,R72788
R10716,R85381
R54265,R57379
R50523,R25211
R71059,R71680
R34748,R57348
R57068,R64940
R86894,R21122
R73177,R82635
R77834,R65435
R77292,R84204
R23467,R95494
R95673,R47182
R88492,R61020
R38852,R86981
R10255,R87925
R72439,R73620
R31356,R10321
R98474,R87148
R68861,R62024
R79470,R99198
R69319,R59253
R40745,R95476
R47531,R50455
R56156,R50371
R25446,R48193
R45431,R86809
R60894,R78746
R14596,R29263
R22937,R12621
R11373,R61900
R37348,R76830
R96344,R50732
R85005,R36275
R90299,R40913
R28260,R88589
R48390,R71356
R14016,R56853
R42225,R12825
R97581,R94478
R15201,R75632
R41879,R77374
R16276,R43384
R84166,R21315
R42635,R83159
R37356,R16561
R43629,R98847
R89796,R92183
R88686,R41547
R21817,R37686
R82779,R65844
R70572,R69780
R48001,R58942
R76250,R14809
R63978,R10059
R13294,R83399
R50201,R33344
R10912,R28392
R82161,R59143
R98575,R42104
R59437,R78642
R11505,R54339
R71903,R54747
R31190,R12244
R96929,R10720
R24279,R89387
R77921,R73383
R12861,R71569
R49505,R46342
R56439,R20775
R32596,R50635
R69035,R53461
R76485,R30238
R55565,R10071
R82978,R88334
R37644,R59863
R82389,R55706
R15989,R49190
R81576,R73158
R61483,R71477
R67712,R90728
R78457,R28607
R68320,R40405
R30691,R92471
R43844,R16893
R86920,R13875
R93397,R36391
R34699,R34358
R46159,R46950
R57800,R77462
R10575,R62201
R85902,R23010
R95170,R79106
R75464,R15295
R86238,R24747
R29509,R34689
R44022,R90245
R13677,R24926
R50468,R45857
R37938,R67513
R84547,R61184
R22016,R48723
R31457,R12502
R10491,R40414
R13067,R93479
R48962,R24091
R10052,R75438
R42539,R68405
R27295,R16986
R48474,R50967
R28198,R86570
R18175,R53970
R91598,R70506
R67709,R10962
R15347,R89910
R93771,R32214
R70781,R68461
R40126,R50901
R52097,R42361
R21996,R77746
R13462,R72442
R15268,R59435
R61447,R56462
R93029,R74542
R70308,R63473
R69748,R86436
R32058,R99177
R62500,R90173
R25838,R47502
R59809,R58448
R98121,R21886
R64970,R11413
R70540,R70694
R29793,R96885
R62698,R57151
R72928,R31887
R53041,R91736
R95450,R44759
R67828,R68404
R68686,R60947
R97664,R49253
R70492,R51334
R81166,R69297
R37015,R82419
R83338,R80750
R91319,R80428
R70917,R63698
R91174,R64078
R56100,R96835
R18956,R26977
R87308,R72720
R10946,R39652
R95438,R80193
R46402,R12598
R76486,R44430
R92553,R34060
R96338,R51158
R97877,R35711
R50227,R99989
R23280,R87899
R92066,R91544
R59945,R86675
R14335,R42305
R70000,R98894
R70107,R38125
R11984,R53594
R89743,R15893
R88231,R23262
R27429,R86074
R37063,R23780
R86217,R59995
R31366,R39118
R77059,R72794
R72008,R92337
R28784,R10881
R16294,R86176
R77890,R85041
R53875,R35053
R33112,R89838
R20003,R70497
R83412,R51410
R94033,R51322
R52545,R83620
R81800,R79794
R21541,R53603
R85481,R99321
R64109,R38700
R40124,R48790
R17269,R27642
R46985,R36986
R22103,R23826
R45389,R24710
R59008,R54328
R84925,R74163
R22960,R27331
R71842,R39779
R27169,R59501
R89518,R98206
R25036,R41054
R33124,R81182
R80239,R73414
R85538,R89323
R57756,R62012
R96471,R55820
R76879,R86980
R56907,R70373
R73365,R47523
R83259,R42136
R90321,R12789
R71063,R49628
R55594,R40409
R33761,R82081
R63607,R19141
R27197,R87126
R11671,R77717
R18702,R72076
R75157,R90381
R87845,R42466
R75497,R65218
R18497,R70203
R45316,R16272
R43077,R94409
R99841,R22076
R90327,R73728
R26799,R45453
R43055,R30027
R19362,R38829
R20463,R84787
R91880,R17195
R26702,R33509
R70944,R13326
R83750,R78424
R21774,R94288
R33788,R48677
R66823,R16608
R94341,R79803
R74962,R30142
R62050,R12274
R80113,R95573
R84389,R74121
R95917,R17871
R22190,R54352
R93546,R30207
R30496,R76958
R20827,R35182
R50447,R81205
R70433,R23198
R60001,R48278
R61229,R67422
R39551,R29272
R88416,R89384
R15945,R36946
R76897,R84857
R18777,R77676
R79255,R21052
R94049,R91798
R33964,R39619
R19240,R25837
R60023,R30945
R44845,R65403
R47347,R66469
R92481,R18924
R99560,R73304
R24292,R14995
R88780,R29957
R55083,R53249
R23860,R22285
R65810,R10073
R44875,R89791
R37418,R75624
R13728,R62100
R77580,R45502
R70698,R31022
R80148,R35909
R82715,R59154
R79920,R10501
R18354,R28473
R54501,R34053
R90611,R89030
R56838,R23770
R73256,R37213
R38014,R34005
R50498,R62094
R37452,R14556
R99143,R57902
R89672,R86527
R79371,R64458
R49975,R24619
R15334,R71566
R35975,R43630
R10270,R46059
R71819,R20626
R82390,R56254
R13539,R29240
R44152,R91766
R65622,R45102
R64837,R79783
R17339,R18989
R77102,R90595
R65277,R98329
R81275,R43284
R26261,R82171
R79250,R16143
R98744,R43189
R31964,R51945
R57568,R25824
R56866,R85635
R54743,R74450
R12679,R80126
R72284,R44964
R95838,R50935
R50208,R35167
R55771,R12863
R10528,R49448
R10918,R64171
R34905,R86395
R33783,R17118
R98472,R25448
R24869,R71734
R56171,R64605
R88716,R88176
R54246,R88887
R75155,R49235
R56249,R86720
R21626,R47124
R81629,R14314
R66151,R72890
R65976,R51476
R55550,R99395
R96272,R73315
R37216,R53632
R58610,R89427
R82139,R61797
R81987,R36318
R54054,R96674
R94565,R32138
R43934,R27850
R99421,R94744
R36054,R48138
R66568,R53283
R69716,R96523
R50424,R30360
R87525,R39298
R34134,R52494
R75111,R66338
R37746,R43221
R34110,R92754
R56306,R48147
R73959,R30154
R36002,R11912
R65097,R97925
R96502,R28842
R97793,R64798
R45009,R67798
R70880,R53755
R58550,R73496
R31159,R89109
R54688,R87102
R93063,R22760
R38599,R26769
R66293,R55690
R40989,R33302
R13157,R62117
R67492,R97336
R23454,R77115
R58119,R40251
R36687,R46163
R57403,R22663
R34449,R92993
R65765,R70723
R70700,R55757
R98807,R46455
R65012,R56499
R81528,R98100
R56011,R27915
R67333,R35525
R83084,R37530
R90722,R78085
R42950,R21317
R55269,R50961
R87152,R47057
R74977,R81735
R32055,R99884
R68136,R50928
R43339,R72513
R66410,R61164
R53282,R75891
R98622,R37435
R61668,R59042
R94025,R50885
R63391,R62177
R41060,R58471
R35443,R22750
R42613,R52009
R90226,R19299
R43790,R16802
R56970,R97665
R33162,R50572
R42624,R89372
R74513,R73594
R44612,R94309
R25388,R64892
R63705,R88421
R34268,R88100
R75221,R78660
R99199,R66377
R40103,R29524
R94256,R64801
R60732,R15234
R38875,R73936
R51824,R31393
R43765,R81077
R85084,R82530
R56029,R11632
R12738,R98097
R81026,R99683
R79458,R21723
R43509,R26881
R72157,R20407
R79727,R23042
R10009,R88448
R11440,R13866
R86428,R47078
R86349,R25952
R70030,R96339
R86284,R74936
R29015,R96898
R73954,R29547
R71297,R83090
R10377,R38287
R53953,R91457
R15073,R68587
R84131,R17172
R18362,R12578
R46855,R76086
R81339,R40203
R33536,R64963
R44912,R32995
R90300,R59812
R51761,R80818
R80766,R46281
R40559,R65725
R55233,R84165
R55891,R35821
R27841,R18166
R88115,R64692
R11208,R51315
R55340,R40375
R55801,R51408
R43687,R21195
R51057,R33557
R74196,R91960
R67894,R67562
R86872,R29775
R29870,R18339
R69642,R29557
R88267,R20412
R45115,R65395
R21355,R28511
R49051,R23176
R32484,R59242
R13272,R85036
R18046,R40361
R65139,R63082
R29177,R30186
R64985,R92356
R56333,R29649
R59505,R71498
R79059,R47887
R58659,R25159
R77298,R68760
R68067,R12601
R58543,R24221
R68354,R83334
R34945,R63693
R97814,R46371
R56928,R37347
R97193,R17247
R71205,R35611
R87326,R23346
R71462,R58044
R29821,R74034
R28102,R81692
R97862,R52615
R98579,R34931
R14707,R73198
R99511,R19575
R88072,R27386
R62477,R44559
R71176,R29193
R26833,R96671
R48639,R83400
R18755,R11150
R20646,R15079
R30943,R18467
R43260,R57765
R81527,R40330
R78360,R22517
R16785,R68378
R28940,R59779
R93858,R69968
R18667,R39542
R59223,R92044
R24274,R72852
R94125,R58721
R43758,R30383
R99902,R56743
R23221,R74227
R28846,R91646
R80099,R20093
R19870,R65534
R96346,R72696
R72401,R26632
R11426,R60883
R26414,R91857
R65373,R88827
R97562,R49585
R71275,R55482
R24033,R13941
R62228,R18530
R59502,R42151
R56775,R73101
R49450,R87554
R76228,R56864
R31344,R26129
R73197,R79334
R51220,R61365
R96009,R98911
R34364,R52984
R75012,R53069
R60185,R55922
R26813,R22755
R71633,R45105
R32703,R36631
R70874,R68602
R15979,R22541
R84613,R68792
R12645,R21500
R84813,R62224
R17211,R90708
R58360,R19267
R70179,R11211
R71374,R25642
R63970,R32983
R34273,R14121
R17806,R99867
R79697,R20605
R16868,R31226
R17215,R97043
R15478,R65183
R35681,R80895
R14408,R31986
R62608,R60687
R64585,R60241
R44069,R43978
R63579,R70622
R10360,R83082
R56426,R69245
R16716,R81836
R59149,R95768
R19916,R35021
R73157,R14420
R77334,R30126
R91740,R40521
R25593,R78401
R50831,R66579
R19779,R64002
R19185,R14803
R24328,R56931
R73124,R67626
R35006,R43560
R56205,R62889
R25857,R26287
R11259,R85348
R12030,R90221
R29842,R49507
R23677,R84981
R64089,R77419
R68531,R68645
R79117,R20525
R23991,R96391
R84908,R97063
R36684,R71124
R12405,R65239
R53640,R97651
R44952,R93765
R29690,R85392
R19168,R21756
R88209,R49276
R62137,R98094
R12429,R25289
R10007,R70235
R51961,R97114
R19410,R77633
R79290,R35405
R79536,R41066
R97278,R44556
R11249,R88078
R64264,R77550
R42709,R30984
R47680,R98413
R19250,R46400
R11451,R91936
R83074,R11085
R45390,R84078
R34219,R73751
R71424,R67446
R14826,R17600
R41430,R73026
R23250,R85503
R42931,R91395
R98308,R83540
R43173,R65220
R95682,R76026
R84768,R90385
R24733,R41775
R89010,R12682
R58043,R60728
R60418,R24665
R47000,R57944
R17354,R23646
R45700,R82925
R91839,R97161
R34697,R75123
R24563,R71481
R41735,R34659
R60749,R36808
R55266,R19127
R91732,R31753
R76386,R84084
R42282,R12246
R96361,R47393
R19756,R21204
R86783,R34054
R70542,R84031
R56410,R77569
R45083,R56450
R35490,R30920
R87735,R19014
R91104,R18481
R60077,R22301
R79718,R25889
R78936,R39838
R55587,R65001
R75004,R79543
R33249,R59314
R71736,R49763
R87718,R81949
R41583,R84220
R17185,R75021
R12161,R37406
R31124,R43122
R13579,R42196
R19386,R44515
R55379,R17646
R38811,R83267
R14360,R78450
R58662,R18402
R47389,R49898
R33236,R83260
R31237,R27516
R66959,R67052
R24639,R65072
R95492,R34204
R30411,R68212
R71238,R93312
R43692,R24542
R97994,R51460
R61661,R74133
R43254,R55349
R77908,R39830
R48127,R92660
R58246,R10479
R62464,R30654
R27690,R79511
R46090,R94707
R93891,R71182
R61221,R29974
R16194,R81048
R65797,R19948
R68373,R47516
R99079,R31968
R46143,R46210
R88178,R93169
R45788,R75530
R57465,R73366
R52944,R16529
R44235,R29467
R55231,R46892
R66134,R78672
R31388,R92825
R50231,R24046
R90280,R44241
R34128,R21396
R39348,R25856
R41212,R27188
R94696,R10894
R65330,R49777
R85260,R40167
R26802,R77191
R67264,R88068
R56757,R74038
R80016,R51553
R66116,R87729
R51775,R26202
R57449,R93358
R24234,R85740
R64426,R98756
R36651,R32884
R38848,R64687
R45635,R73644
R89753,R45560
R84435,R32191
R36109,R61205
R81152,R86922
R81228,R35212
R93306,R67885
R67073,R12524
R42670,R69832
R46190,R47841
R33563,R85353
R72146,R86849
R33171,R45140
R82151,R80199
R30250,R36939
R25232,R75356
R82011,R39627
R24367,R44550
R63813,R48323
R83974,R58679
R90132,R12848
R29508,R13909
R68789,R25382
R65741,R36227
R59320,R44877
R74190,R11903
R81218,R57915
R22182,R33635
R13729,R52311
R23612,R74898
R16905,R89880
R18990,R71689
R30432,R41838
R22494,R81874
R37516,R70826
R68316,R26551
R29977,R58329
R25902,R16621
R53556,R16615
R37885,R44128
R46063,R50057
R44925,R60439
R69596,R73117
R73455,R18726
R19302,R55405
R50739,R82356
R47965,R60354
R16287,R66142
R47425,R70385
R24249,R75098
R48479,R70008
R26696,R99082
R81043,R67088
R60825,R54086
R59819,R18618
R96352,R59932
R39054,R18676
R67164,R17870
R50473,R54931
R89386,R17222
R42686,R33834
R66602,R22460
R41732,R46474
R84984,R49477
R41839,R51854
R31577,R79810
R38334,R57519
R98021,R36466
R58054,R50731
R18337,R41703
R93291,R10584
R35297,R27415
R90858,R92901
R75026,R54584
R15321,R39010
R96474,R86221
R23530,R65344
R62122,R44939
R86444,R31193
R97541,R95977
R79354,R29774
R77161,R37295
R70533,R94312
R75777,R18209
R38152,R69335
R48090,R37624
R12375,R32457
R38944,R92750
R13566,R16706
R18208,R29303
R15095,R60525
R93543,R58235
R12436,R10717
R79676,R30085
R87630,R76166
R58447,R85646
R85237,R46412
R72855,R75711
R61208,R53542
R41356,R23663
R77751,R93079
R14666,R18835
R36389,R77522
R41949,R20011
R41308,R41716
R61641,R27446
R85546,R11507
R28558,R37794
R41002,R38262
R62719,R27705
R92360,R55152
R93017,R55791
R33698,R37345
R32894,R71687
R89946,R85964
R73947,R18405
R33600,R53113
R26944,R26680
R99349,R99393
R50209,R93346
R97254,R41916
R65740,R36637
R65472,R20146
R92706,R15444
R18054,R98459
R68877,R47350
R23333,R72228
R62453,R28698
R49229,R34800
R36514,R65440
R11979,R47769
R45003,R56781
R51877,R71161
R24134,R65627
R41289,R37919
R90220,R58417
R66520,R52222
R64141,R18301
R35731,R88414
R32320,R90584
R38861,R60478
R54823,R56487
R24476,R45981
R73820,R83888
R34370,R96031
R78938,R15263
R87645,R43099
R51544,R87280
R28871,R75528
R99031,R19626
R54461,R32433
R28962,R53007
R56646,R41258
R23714,R66113
R57963,R32772
R34795,R43478
R75229,R51307
R45408,R70806
R95853,R41868
R85173,R35887
R91754,R94332
R28066,R92792
R59456,R22122
R79403,R13484
R96268,R50962
R53146,R54653
R45699,R92108
R63932,R17924
R30405,R64434
R61623,R97641
R62584,R10301
R78842,R83943
R42407,R73967
R88561,R72612
R83914,R17917
R95274,R60286
R81679,R82457
R37083,R87271
R86713,R59488
R72000,R52114
R90250,R12146
R86519,R37166
R69424,R99689
R28374,R37891
R55315,R76094
R76374,R53051
R16722,R39136
R68591,R34332
R28413,R75227
R43097,R82376
R89981,R59570
R76295,R89499
R67382,R79387
R21335,R75674
R71831,R80409
R23269,R16823
R50690,R91518
R44106,R94629
R19191,R83326
R18658,R70204
R15654,R86373
R82731,R51324
R10898,R45280
R10509,R92794
R62894,R62938
R17955,R37723
R86699,R45014
R37952,R68496
R29443,R92642
R84640,R63564
R65200,R77510
R96340,R49726
R71516,R14160
R97270,R13265
R28242,R25445
R51992,R45164
R96286,R28550
R56767,R44735
R32349,R34817
R56210,R46576
R12559,R69608
R59080,R11828
R60927,R69154
R76030,R77086
R45107,R38874
R59660,R90297
R44444,R16930
R13710,R39212
R68258,R69772
R24779,R66580
R50971,R35733
R95128,R95323
R37368,R34217
R34144,R41717
R98522,R81086
R94587,R93183
R20458,R20656
R55657,R13745
R97341,R13065
R50960,R50131
R67429,R31206
R33641,R14852
R92077,R45623
R53550,R50542
R80621,R32529
R60259,R73586
R40758,R31444
R17489,R64095
R49857,R71561
R73367,R72333
R65016,R89908
R72068,R49812
R40821,R43852
R83504,R53071
R77895,R43877
R35432,R69530
R78114,R25006
R90336,R56252
R28317,R57147
R37950,R37049
R89595,R83088
R67563,R98209
R26407,R83444
R27904,R32891
R60098,R43760
R42698,R42094
R44885,R43495
R67830,R92789
R38053,R75495
R27023,R24724
R83445,R40174
R35662,R86835
R13534,R64499
R45362,R86863
R49543,R61874
R23775,R48339
R33160,R60230
R45416,R47634
R95854,R80170
R32955,R18486
R42265,R93161
R75287,R61061
R29042,R94638
R85397,R79040
R50940,R25153
R46014,R78575
R34838,R81386
R59299,R49180
R27683,R83467
R99354,R50276
R16568,R13714
R93110,R80327
R38994,R74318
R28218,R45656
R18218,R79583
R92574,R25103
R52884,R41790
R27463,R97846
R63602,R74314
R43236,R29829
R54095,R85521
R15465,R12817
R34614,R29720
R55512,R46518
R52499,R50133
R49217,R18852
R22650,R21185
R30662,R45200
R95347,R76925
R42077,R19871
R25548,R21379
R73553,R30558
R24238,R99508
R11697,R45218
R99558,R47986
R65514,R13288
R98317,R33514
R60902,R88117
R53732,R47635
R63757,R90574
R67301,R71924
R99243,R60107
R64344,R86254
R82560,R43712
R93799,R70088
R89235,R77827
R47664,R66809
R19661,R51881
R20320,R40627
R24425,R89062
R57512,R14031
R68977,R74704
R68053,R59858
R26185,R60946
R61054,R55484
R29395,R44215
R54869,R26579
R49240,R68283
R40958,R12963
R31953,R97216
R56792,R61214
R87883,R57959
R86688,R24147
R39997,R69451
R27157,R16838
R79276,R60134
R44590,R79270
R26231,R51285
R40326,R87089
R12522,R72954
R29736,R87038
R89902,R56467
R88434,R71592
R60576,R69767
R33691,R36557
R96247,R74875
R29122,R72100
R89007,R87960
R15722,R23295
R89017,R70837
R12295,R79380
R31997,R24973
R65925,R79975
R10828,R60413
R71147,R61906
R32943,R60288
R74603,R54041
R93427,R34528
R49389,R49775
R70706,R83920
R38667,R80111
R15657,R37062
R12661,R57898
R58661,R70166
R29181,R75374
R32751,R84256
R91863,R87176
R73246,R97080
R61643,R37945
R64528,R40686
R94322,R78018
R26331,R96829
R61954,R23447
R23370,R24736
R98254,R43788
R91823,R91136
R23444,R63550
R79651,R90739
R10315,R78641
R24185,R29200
R71542,R99914
R39064,R39612
R19687,R83079
R84155,R58109
R55189,R35135
R82819,R38771
R13548,R52811
R84654,R99075
R67490,R96818
R91843,R51137
R26450,R41534
R94314,R71554
R14329,R27067
R43672,R94866
R80810,R32326
R59830,R53858
R39190,R74265
R99885,R57775
R25579,R80280
R86353,R26170
R75834,R75115
R96711,R26477
R30761,R29343
R62081,R80392
R77491,R70446
R71168,R37493
R33075,R58380
R43868,R24734
R61245,R11434
R66221,R11562
R52422,R73962
R81398,R97550
R26345,R33605
R50850,R51469
R69231,R21528
R79262,R69320
R73561,R87708
R18240,R35031
R80286,R15590
R37814,R25893
R35052,R85870
R23661,R81809
R13956,R81274
R71396,R31102
R63588,R43721
R42538,R59004
R82154,R52247
R15791,R11140
R12359,R17090
R60295,R98270
R78618,R17327
R30084,R49502
R99963,R77982
R36099,R89809
R32774,R25959
R92403,R94705
R93317,R66030
R55552,R35799
R56846,R94303
R52220,R97230
R47649,R37955
R60228,R86062
R84793,R48327
R41132,R65968
R83936,R34592
R82008,R82290
R28486,R26262
R32794,R17431
R22799,R38393
R50799,R41700
R11561,R53259
R60487,R65002
R96745,R55917
R77670,R99346
R10665,R50233
R87593,R40489
R45549,R95951
R32916,R74795
R56833,R34175
R30923,R30034
R41245,R95105
R25422,R55228
R44182,R80566
R24983,R78498
R44755,R17334
R21967,R39456
R64258,R25075
R68331,R70250
R41094,R90376
R95111,R83780
R77546,R40580
R29905,R71293
R81215,R93035
R82586,R58574
R73566,R86013
R22706,R51024
R29512,R66919
R28728,R17884
R29340,R21241
R70835,R96267
R93780,R38931
R76073,R11744
R31473,R93443
R73840,R65500
R42795,R33384
R51920,R45221
R91555,R36500
R41171,R15705
R80385,R10107
R43723,R33690
R34790,R60847
R63710,R97981
R72065,R37043
R89509,R32038
R12735,R89988
R87473,R78542
R76330,R16324
R56245,R64487
R30393,R84678
R87773,R91867
R14816,R84212
R73165,R73231
R98026,R48587
R38008,R47433
R78098,R15702
R33651,R46980
R95583,R44417
R43908,R69037
R77139,R73591
R55827,R93610
R92076,R85404
R46329,R31949
R90909,R91009
R37058,R23055
R37886,R93319
R28080,R44479
R74561,R92139
R94999,R37202
R96693,R64155
R17531,R60884
R49220,R19714
R24969,R58146
R59712,R45627
R37246,R53922
R64634,R78039
R25172,R99835
R99529,R68734
R16721,R33250
R12936,R58903
R88851,R35590
R36609,R23797
R66865,R82074
R29573,R35701
R64668,R40482
R32474,R40599
R91003,R58533
R63618,R24181
R90796,R79590
R42470,R35023
R51386,R40904
R74975,R54736
R84987,R43233
R45778,R92596
R88940,R42182
R90711,R55498
R54304,R18311
R73067,R84708
R71609,R36974
R21995,R40834
R13615,R75857
R47053,R10253
R71829,R84248
R79518,R29907
R19417,R53785
R38569,R31725
R79214,R42874
R34227,R43519
R38552,R80827
R94285,R18254
R12755,R56521
R58489,R91986
R73683,R36925
R43653,R43578
R99953,R84808
R41473,R89469
R52000,R92316
R82221,R23558
R55734,R53270
R81613,R58696
R66351,R35621
R98325,R83692
R77839,R90706
R74478,R17790
R73074,R67024
R68449,R74219
R53902,R93588
R20193,R34935
R93818,R84035
R25154,R83849
R58356,R52868
R81790,R28263
R96819,R44639
R19405,R24756
R45370,R25939
R37591,R80888
R45895,R29697
R67565,R79309
R18059,R31874
R62640,R40995
R85790,R61669
R50311,R66353
R59534,R36495
R57072,R28678
R47736,R84121
R75057,R66169
R66756,R95906
R90828,R10457
R66687,R24987
R55549,R98473
R30045,R25035
R16701,R83767
R68848,R36348
R25760,R75342
R40858,R46200
R76052,R93339
R20670,R20690
R51666,R88504
R95095,R89647
R22053,R23193
R60285,R33790
R74697,R57408
R74306,R21045
R82534,R77404
R72136,R43222
R68744,R28172
R22309,R10249
R92151,R14013
R39230,R89551
R23710,R61034
R79774,R52891
R39191,R87832
R98640,R54358
R65457,R76819
R84444,R22913
R28128,R28156
R84151,R87659
R58697,R31958
R11942,R24556
R76522,R39783
R33965,R64666
R42576,R42985
R99767,R82916
R96598,R95113
R78999,R38098
R14876,R98998
R16991,R36734
R20890,R22771
R34992,R61474
R50130,R84190
R77795,R54911
R37220,R77961
R91552,R74273
R76399,R37082
R98614,R47883
R97786,R76684
R94967,R92421
R13439,R29538
R11612,R99257
R17862,R88938
R35503,R45098
R76488,R55547
R59722,R77168
R48898,R90856
R38034,R25071
R29609,R87988
R22467,R47601
R13345,R53149
R64452,R21811
R60225,R80720
R65195,R23503
R49427,R95930
R20701,R50419
R70319,R19495
R63810,R93343
R99572,R34079
R76701,R99628
R34037,R44282
R14208,R69375
R95877,R53360
R45676,R84982
R68761,R69603
R69628,R64074
R27926,R23904
R65036,R85907
R10699,R76344
R84392,R67645
R14736,R34917
R37077,R99015
R72663,R71786
R28135,R53344
R23240,R26907
R78794,R91409
R33708,R10080
R12759,R62349
R20847,R51988
R39928,R28668
R86729,R25169
