R607615,R444827
R427568,R433486
R400436,R762356
R329582,R160529
R443234,R893501
R956560,R365496
R794695,R178785
R247138,R296663
R817328,R710945
R180191,R742025
R851449,R517909
R184839,R546987
R648288,R552772
R538111,R983639
R410878,R392045
R550940,R546711
R377700,R865747
R699902,R774497
R140752,R348378
R912283,R451745
R734413,R402468
R661997,R937243
R711936,R167898
R390007,R295853
R366709,R702182
R130802,R249412
R747122,R398763
R516092,R417447
R168828,R221029
R760237,R929499
R825851,R713323
R791374,R485020
R297314,R652481
R331393,R805594
R825444,R180657
R323433,R563294
R934073,R570559
R949402,R105191
R606921,R206488
R709785,R343610
R715947,R476400
R101169,R261352
R532725,R280450
R221569,R997927
R408784,R538542
R822916,R195653
R764331,R409123
R820536,R876375
R799898,R986434
R857229,R233076
R308683,R941123
R178739,R314562
R809821,R776322
R366855,R640371
R572796,R304444
R704428,R799451
R174884,R837675
R811216,R957650
R314890,R685467
R415050,R733652
R847808,R229630
R756344,R145852
R542021,R368973
R829275,R102865
R906316,R474081
R397759,R122340
R698336,R261712
R371005,R946052
R313196,R257935
R314912,R328667
R182585,R684471
R139971,R736665
R352118,R876369
R178627,R969047
R664743,R891561
R662100,R468203
R209407,R874046
R399824,R349895
R239904,R402195
R631302,R579463
R183535,R215531
R421701,R974861
R440457,R643705
R715900,R546638
R762160,R983320
R708185,R992221
R389458,R354890
R639337,R149357
R157629,R797865
R271697,R751275
R344546,R553439
R626776,R992565
R110998,R255737
R300618,R291736
R635572,R276217
R104518,R554492
R495189,R196165
R291556,R483779
R442859,R148413
R169089,R151079
R933988,R643869
R422977,R810128
R926331,R622153
R297838,R535564
R803896,R462937
R216462,R576025
R667370,R705061
R734082,R676134
R710490,R829051
R488222,R742096
R828817,R737817
R790284,R808883
R743584,R902734
R736616,R198800
R964897,R737521
R183086,R297439
R647033,R441957
R718709,R657808
R818564,R537183
R212121,R796708
R984336,R671844
R748879,R226395
R455847,R576140
R292961,R151796
R664735,R988088
R564521,R576971
R512938,R487780
R155737,R944705
R635360,R470339
R613360,R292630
R578518,R742178
R108211,R845961
R105751,R678512
R435947,R878495
R596462,R366722
R846711,R688951
R745781,R501441
R227090,R518674
R578368,R978230
R811661,R225120
R498426,R644376
R696766,R906308
R647583,R183511
R655778,R471945
R814010,R299167
R906909,R277984
R410107,R227333
R914039,R561020
R721890,R660412
R667003,R937396
R929207,R617125
R714229,R977586
R926196,R128998
R842791,R776380
R959467,R358800
R504864,R120009
R358544,R298439
R972535,R738471
R472928,R793683
R932091,R197873
R789266,R191377
R298295,R359052
R451802,R973075
R456769,R626082
R375835,R716163
R430576,R320846
R663614,R530395
R899971,R389477
R478777,R327595
R886398,R675151
R403332,R912956
R590106,R621351
R973051,R944196
R594934,R714590
R162994,R202052
R168745,R520847
R766504,R443813
R117905,R930389
R883905,R266162
R142123,R351658
R942865,R295628
R224440,R265661
R679090,R553787
R411904,R460727
R475027,R979731
R339667,R736963
R146995,R742581
R210161,R782792
R365615,R841533
R442021,R344176
R127880,R576220
R239112,R142519
R826378,R280776
R353928,R259768
R441849,R500641
R216716,R437762
R677650,R276302
R219632,R730355
R653230,R687356
R962453,R991532
R585043,R844361
R446065,R574049
R865370,R458278
R478795,R541466
R141412,R914821
R935755,R497080
R229557,R966691
R372830,R342265
R120144,R821869
R246037,R105576
R398225,R143376
R265227,R542328
R854303,R190694
R831278,R436157
R777693,R869978
R819444,R989983
R627811,R757133
R365104,R796817
R459622,R894753
R390693,R974231
R903386,R470192
R517596,R906302
R523290,R521567
R681005,R967688
R212192,R911217
R310908,R595210
R847795,R779605
R758677,R670662
R230910,R687322
R801988,R639384
R240297,R455359
R884298,R813150
R674831,R341283
R787419,R221541
R689943,R756171
R427666,R839354
R262587,R790204
R951387,R634887
R282520,R473630
R859368,R731645
R712466,R501564
R255255,R738419
R260580,R699557
R283491,R830584
R166062,R343763
R985936,R100756
R735764,R612429
R271514,R943985
R750863,R640507
R335542,R881313
R323066,R321393
R113522,R434689
R512954,R797723
R720532,R165834
R616919,R722451
R474033,R980919
R172549,R385730
R582297,R825337
R244265,R195624
R170286,R330328
R178474,R601710
R385387,R146162
R789209,R485216
R863478,R581741
R444071,R558575
R281082,R746397
R729093,R824022
R326588,R205524
R755608,R987566
R468174,R191430
R783662,R579007
R705461,R684531
R470810,R776930
R495559,R103671
R889593,R495040
R637581,R317455
R221197,R710885
R857088,R522329
R714470,R651725
R527357,R330065
R694380,R452907
R403533,R958940
R829508,R289801
R166415,R166217
R897210,R217292
R121948,R825998
R822453,R622291
R549480,R337260
R540162,R380574
R411733,R243329
R836107,R467536
R882208,R388296
R864137,R729630
R216327,R954971
R387642,R450235
R405265,R943017
R967152,R896598
R273286,R690650
R610590,R672042
R736358,R897934
R564354,R894179
R301244,R184395
R911226,R943881
R640282,R365209
R325045,R566078
R576805,R341675
R623252,R667781
R922011,R466623
R928194,R436064
R434184,R879350
R534055,R800233
R546211,R185288
R126115,R396929
R703168,R745045
R802972,R510484
R718731,R298976
R624112,R499309
R473256,R397430
R729385,R712242
R251392,R716891
R808127,R288957
R857216,R744210
R523920,R782614
R451723,R899350
R116551,R288403
R242247,R554632
R159874,R503512
R183154,R406193
R121305,R333929
R199339,R161309
R393873,R209373
R460489,R289608
R941194,R429291
R817227,R528089
R359737,R349343
R513769,R406498
R280306,R205143
R529936,R610889
R665300,R212298
R838110,R630715
R957570,R517882
R743994,R497558
R684985,R973811
R278772,R888238
R338356,R356339
R157908,R943164
R669783,R644328
R500521,R783107
R270461,R969915
R397563,R577790
R511596,R265687
R337092,R911887
R234069,R985562
R871000,R544195
R638105,R412246
R635880,R736440
R664390,R309725
R374804,R395684
R274949,R407526
R724465,R220560
R918663,R650879
R705295,R709231
R999738,R596290
R849582,R909913
R800661,R203371
R206322,R756008
R562305,R478617
R556449,R108353
R673817,R802084
R942313,R946892
R664900,R926944
R226184,R449527
R313462,R575550
R793315,R493702
R912485,R363588
R567637,R743964
R219736,R947051
R172148,R571034
R904050,R611968
R996686,R776878
R728490,R891718
R600261,R712666
R941844,R977105
R639230,R125548
R743910,R760898
R894172,R141407
R868755,R644467
R651807,R956909
R162062,R181715
R951139,R521497
R163501,R883943
R627111,R855136
R258564,R601475
R532478,R204043
R264006,R494653
R808856,R547393
R443465,R535872
R128466,R259739
R235558,R403713
R279652,R254564
R116400,R655610
R776274,R807896
R591847,R419627
R697983,R935761
R521571,R692641
R932023,R153224
R727571,R351931
R531968,R421617
R179759,R458594
R622471,R466734
R979577,R717071
R669434,R673136
R784311,R977226
R933207,R798044
R253428,R918718
R112546,R289743
R213798,R389861
R529261,R959654
R128813,R743832
R794458,R328008
R827623,R760713
R360040,R544839
R194658,R812488
R487231,R101326
R652221,R387400
R266286,R416829
R911197,R879531
R322649,R796479
R484348,R615159
R549998,R454977
R153979,R988960
R392978,R235793
R516975,R410676
R283258,R862451
R215857,R374138
R420370,R507257
R426948,R113742
R591582,R624354
R179870,R110404
R391927,R809705
R864844,R118786
R984664,R180786
R915865,R528464
R413432,R462874
R764995,R769515
R191736,R922352
R978679,R117019
R285510,R755083
R522148,R810113
R464843,R476969
R572204,R855761
R955828,R981990
R673123,R936245
R443957,R501663
R504387,R704974
R414432,R470894
R869743,R370714
R456307,R718112
R795157,R703383
R575508,R170615
R476772,R720319
R196446,R506808
R812128,R910094
R376722,R606487
R264505,R459014
R337178,R373427
R879872,R868967
R483523,R417833
R573865,R653193
R664366,R887050
R101488,R401391
R264996,R687326
R888009,R520067
R462360,R713529
R961563,R615739
R537511,R414130
R859315,R229060
R927012,R669454
R717467,R248791
R242572,R895855
R320597,R782062
R533471,R659202
R485209,R531089
R902073,R325801
R849923,R292850
R110094,R118278
R125370,R652255
R250623,R342036
R455588,R640762
R651394,R638271
R796776,R907634
R116156,R219031
R783803,R925999
R411796,R539696
R711744,R994203
R637065,R183539
R181723,R962384
R155917,R531014
R840363,R290742
R232178,R678303
R869742,R159594
R544211,R980362
R523250,R844103
R533189,R854157
R105048,R413065
R444908,R653817
R806685,R971564
R676244,R455921
R181033,R660712
R358436,R459998
R706947,R638596
R926117,R102915
R475197,R599343
R643801,R332884
R954103,R311423
R319973,R115599
R349834,R377159
R962151,R324752
R536415,R453989
R571595,R335694
R971513,R423762
R287295,R557179
R344815,R709104
R872658,R933126
R912052,R292589
R622528,R346392
R141983,R243412
R491220,R117423
R436469,R738610
R605544,R361724
R995181,R520489
R774401,R483306
R517473,R524458
R763999,R167956
R669968,R402024
R587433,R630617
R913661,R227540
R619819,R796037
R411159,R624178
R886902,R978568
R854976,R285268
R786515,R767735
R919994,R567014
R284191,R820505
R661186,R177357
R622748,R276636
R312404,R732305
R813005,R199043
R966350,R164533
R773349,R303808
R162436,R186637
R894219,R397148
R336070,R722604
R777974,R265113
R600925,R636749
R374483,R305371
R252862,R215065
R892640,R938399
R336773,R283805
R807249,R698188
R501898,R730326
R905085,R782570
R771546,R286139
R163552,R845087
R649767,R533322
R262419,R703669
R120097,R625739
R296005,R354916
R618270,R488467
R848538,R361605
R159120,R847466
R935930,R545837
R903110,R786455
R487224,R758997
R717636,R825190
R555725,R619553
R532539,R444719
R795559,R641557
R500450,R946207
R197358,R696071
R910632,R792603
R918138,R851848
R543271,R206979
R191759,R905251
R679047,R537434
R844254,R766030
R977947,R971357
R844637,R969357
R642483,R204721
R731513,R153590
R196461,R389413
R680030,R954096
R476951,R488981
R329538,R903168
R286356,R307203
R909237,R938065
R651722,R904301
R251976,R300903
R185956,R513037
R442377,R181139
R722693,R574701
R214551,R236400
R852605,R679256
R116610,R844253
R220426,R459548
R126284,R979166
R342512,R848222
R437080,R950660
R488447,R117599
R709597,R358029
R739460,R516286
R728650,R707130
R574810,R400431
R565192,R249236
R136950,R921405
R417217,R286341
R599785,R846474
R877000,R942771
R558569,R561740
R792306,R684950
R791999,R614430
R277320,R916857
R986403,R427044
R140693,R696179
R634304,R768021
R824684,R129105
R160161,R623346
R900176,R768406
R517890,R125629
R759579,R105635
R716710,R280685
R424900,R303690
R154186,R548837
R754496,R807072
R320696,R318035
R836326,R102516
R915065,R309065
R758922,R568387
R741119,R279667
R224627,R157048
R775988,R767514
R666923,R858116
R147194,R466386
R885706,R183587
R996800,R963248
R780335,R439958
R433207,R736768
R321613,R992533
R561679,R583283
R326428,R872982
R379108,R154142
R622225,R652583
R788540,R928700
R885996,R545293
R271819,R248208
R983408,R365152
R398155,R600614
R166319,R529318
R830975,R729615
R174129,R652793
R362233,R598189
R417615,R423896
R904956,R686813
R997231,R450030
R182588,R155608
R981315,R835664
R249452,R773350
R237198,R900090
R287083,R817092
R369576,R737666
R923923,R590695
R756397,R616629
R818352,R856281
R849674,R508467
R698626,R708643
R755129,R775059
R775267,R292009
R467821,R701517
R510933,R815722
R276987,R426353
R684810,R497770
R112945,R179651
R511959,R240683
R676564,R658607
R869091,R925018
R912589,R366457
R796859,R540449
R318958,R938088
R560775,R248350
R568029,R335189
R964499,R556005
R402257,R983678
R796669,R189680
R549021,R589714
R725489,R695043
R433560,R411122
R142627,R872440
R200362,R373658
R320467,R917350
R161975,R698711
R226613,R119681
R528238,R570840
R830310,R413695
R833794,R639480
R480515,R795055
R474502,R479831
R663530,R438780
R837562,R625267
R919989,R298843
R389285,R393131
R706885,R656943
R824817,R771905
R351440,R111595
R409120,R377209
R747374,R189054
R213676,R261419
R241808,R519285
R670009,R695507
R939266,R146836
R650725,R296169
R358667,R713314
R194384,R763187
R561802,R367761
R292346,R811725
R203395,R894895
R626237,R454185
R357708,R624375
R787145,R782899
R266404,R379397
R813497,R353504
R997601,R235761
R213700,R423384
R940940,R548388
R740781,R241965
R154276,R969569
R756994,R814944
R644569,R817357
R194340,R607223
R467606,R345504
R533448,R847814
R900996,R122211
R353300,R654608
R918172,R371498
R225237,R531838
R361013,R830659
R577677,R789271
R250025,R718143
R900347,R798093
R345733,R915684
R589617,R947244
R419616,R327503
R828701,R806845
R952778,R254015
R298768,R583397
R451883,R235386
R792640,R716769
R599917,R745697
R242981,R999896
R759199,R851796
R960166,R676812
R417031,R652478
R182157,R253506
R910878,R991107
R530985,R433183
R889005,R424439
R196391,R801646
R374035,R957205
R648901,R434593
R709626,R238660
R240110,R266137
R282396,R667886
R153698,R812837
R375317,R724753
R785172,R346807
R872023,R408669
R553345,R839366
R202209,R158034
R895798,R389879
R173983,R996092
R756517,R277716
R752654,R373794
R741218,R808620
R470115,R840207
R404880,R742198
R574620,R821878
R525355,R258882
R186533,R872852
R835085,R215397
R686977,R568779
R218164,R535455
R405965,R267865
R196517,R753806
R792736,R863841
R300718,R834929
R723862,R381258
R902290,R660370
R160684,R144616
R174102,R293913
R120658,R591565
R131188,R477838
R651197,R652837
R495451,R278854
R333576,R597093
R723683,R278452
R517617,R544213
R587017,R504304
R474354,R625653
R240443,R161683
R266726,R874582
R833354,R112840
R667098,R204749
R994666,R246832
R989875,R209542
R705978,R625795
R697422,R323581
R444200,R408373
R600658,R840434
R899352,R736725
R743619,R415473
R850553,R940407
R609485,R567037
R900863,R262910
R792847,R959287
R999181,R127958
R164409,R889435
R436165,R330344
R117333,R851986
R927006,R507122
R979581,R402680
R710666,R166402
R821692,R644705
R560449,R108865
R820900,R380388
R622356,R136266
R703854,R267256
R127838,R329330
R711970,R758109
R570839,R886142
R575560,R168544
R675633,R590800
R334093,R989503
R717572,R997356
R865896,R559048
R496765,R469600
R476996,R413011
R696218,R905188
R668885,R381134
R652313,R730111
R215583,R336112
R449501,R287622
R272841,R341340
R170329,R319172
R220112,R943216
R674093,R793988
R975683,R872361
R515623,R719172
R305841,R526695
R512728,R336043
R460496,R293338
R397894,R509792
R994536,R693870
R907822,R735593
R309862,R663886
R164634,R680446
R809874,R372713
R300520,R406875
R689360,R741536
R606081,R220554
R828543,R587214
R855167,R873256
R663156,R552431
R406369,R143471
R951834,R642048
R701801,R962523
R168024,R420129
R718377,R630635
R857177,R707987
R888866,R952714
R267288,R690344
R306767,R844935
R958072,R739835
R116020,R297079
R410748,R365493
R858682,R923426
R598669,R284483
R761033,R825762
R917926,R147831
R811065,R695645
R591195,R825527
R652733,R770581
R441507,R824397
R485193,R517597
R963242,R213149
R860943,R522466
R457760,R416109
R885127,R732073
R148858,R569168
R676178,R709500
R960909,R971635
R402124,R758343
R842273,R906085
R489810,R875378
R447867,R467222
R982847,R113559
R371855,R880034
R302551,R663315
R370811,R960656
R388607,R179761
R260076,R591465
R810671,R914618
R706754,R532835
R740802,R878538
R287033,R817643
R128780,R264913
R568909,R355952
R623848,R746233
R511615,R509235
R899330,R448961
R730337,R974622
R971732,R254937
R182640,R973865
R981019,R527847
R334151,R349364
R610089,R461036
R865526,R970033
R173329,R760762
R571119,R139009
R689145,R734207
R313996,R512770
R770082,R735069
R123128,R482018
R813103,R696219
R971441,R653069
R196213,R417111
R460445,R177874
R485659,R212957
R764123,R531144
R610795,R609784
R280721,R371529
R938486,R313091
R545288,R966929
R965973,R186177
R634177,R538865
R500337,R556832
R444464,R240330
R239835,R888191
R103739,R982398
R667113,R612723
R616739,R388403
R289995,R232710
R245265,R809536
R593046,R918836
R575182,R868816
R809385,R760389
R466341,R778862
R771975,R550487
R409718,R402374
R363055,R480353
R627560,R139883
R997048,R770165
R330165,R659059
R583358,R766648
R736069,R112862
R261063,R119217
R115435,R224279
R842552,R189647
R908984,R194553
R771555,R642677
R747199,R505765
R312927,R345945
R302175,R111543
R203204,R580136
R446089,R303889
R938828,R264717
R721120,R239592
R870167,R545433
R877407,R951153
R844703,R919562
R752401,R994332
R357868,R490858
R710828,R396600
R563702,R234748
R323209,R633312
R592169,R761382
R627163,R745013
R577608,R117414
R471858,R180453
R100420,R427714
R829057,R490276
R671723,R625419
R348436,R334501
R152378,R688133
R366666,R321927
R191935,R235029
R764038,R182797
R444030,R476372
R115568,R948062
R807547,R653204
R110814,R901427
R729036,R674845
R444214,R394395
R321556,R883493
R319651,R332428
R123472,R691014
R932814,R486271
R576893,R222320
R392607,R537216
R813467,R837049
R454648,R803721
R937887,R812206
R713461,R842069
R747005,R209450
R468528,R240446
R423363,R261267
R887236,R513001
R200069,R904920
R391887,R897608
R359302,R213147
R899192,R740065
R894923,R533822
R946258,R900591
R379486,R140998
R490520,R761623
R183211,R966718
R147347,R174692
R516855,R116150
R164268,R169127
R287057,R761244
R890856,R695998
R315376,R854246
R799014,R613427
R583008,R525292
R214113,R682171
R431910,R874951
R664009,R945570
R484121,R110925
R565534,R121133
R388082,R524495
R445330,R217089
R475513,R852668
R784054,R597209
R902203,R447191
R947156,R587071
R118095,R995412
R755847,R347669
R121732,R210168
R759739,R532909
R242246,R686415
R224055,R395767
R786739,R223119
R553305,R168721
R304045,R425532
R489648,R544793
R562365,R487622
R338102,R805703
R586111,R818769
R659990,R510548
R765409,R414473
R188078,R950034
R269698,R753032
R282562,R732012
R776309,R144385
R100936,R414248
R111342,R540786
R336859,R895568
R435945,R269205
R293891,R952425
R510373,R263080
R963498,R755758
R730882,R481960
R123188,R153905
R961364,R643138
R905962,R273018
R766737,R906194
R605998,R607586
R898457,R645453
R500915,R388183
R933047,R633748
R614292,R853479
R687826,R195199
R235731,R356964
R410190,R419816
R533463,R241884
R549359,R784241
R239944,R311187
R154664,R691824
R802321,R905164
R338860,R673232
R253743,R219463
R430933,R858503
R505244,R292708
R721684,R136352
R526939,R150942
R860097,R434805
R621392,R518232
R157104,R817566
R836554,R371846
R843373,R126368
R954143,R676372
R399988,R845007
R517954,R672578
R646995,R524642
R633320,R132618
R931940,R180546
R392904,R821158
R289320,R381610
R236486,R674132
R396664,R540774
R281521,R717707
R879807,R627820
R489242,R406028
R598890,R955994
R564208,R361326
R301754,R590168
R927650,R350538
R998597,R977252
R265195,R624591
R921857,R130242
R344641,R732545
R839316,R778189
R213562,R593671
R684372,R201981
R783319,R242752
R860091,R664739
R737383,R599670
R738790,R393783
R343617,R904575
R283528,R364557
R908572,R660323
R176495,R802418
R185517,R924319
R112940,R621268
R365835,R756339
R300791,R936314
R904741,R316107
R725217,R907796
R582875,R701916
R466999,R530786
R810179,R518387
R469862,R966204
R435301,R119729
R537622,R461361
R911310,R954175
R927665,R391458
R241573,R375371
R695103,R776237
R174586,R636752
R252466,R648506
R790072,R807799
R714262,R764472
R686997,R416364
R559520,R402318
R337244,R196786
R327333,R365968
R363670,R223703
R385548,R310364
R233723,R485212
R523638,R317404
R576198,R418386
R838271,R778656
R802532,R865549
R966852,R993136
R956585,R167049
R901932,R651584
R857586,R180556
R182312,R878145
R217002,R349838
R322055,R817127
R575936,R895126
R484595,R423622
R330291,R371489
R683905,R739325
R184153,R604656
R173354,R680932
R340956,R871769
R390940,R946205
R555419,R727536
R654734,R718809
R593107,R704348
R283775,R624958
R656761,R977942
R143836,R314764
R629297,R564864
R108399,R249219
R523056,R717975
R800061,R512788
R735691,R531420
R157322,R996448
R171684,R295258
R837109,R785245
R968554,R280849
R395966,R931695
R843088,R677231
R943726,R844562
R614071,R484037
R124446,R826774
R103193,R471294
R935774,R119000
R817397,R856771
R837023,R897481
R204127,R756060
R921627,R781718
R297409,R914239
R852880,R451237
R404900,R487284
R656237,R812332
R680157,R516462
R900487,R134149
R925946,R750495
